"filename", "language", "C#", "XML", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Actor.cs", "C#", 34, 0, 0, 0, 0, 3, 37
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\BattleSystem.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Container.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Enemy.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Entity.cs", "C#", 110, 0, 0, 0, 0, 5, 115
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\ItemClass.cs", "C#", 29, 0, 0, 0, 3, 2, 34
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Player.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Program.cs", "C#", 14, 0, 0, 0, 2, 7, 23
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\Utilities.cs", "C#", 27, 0, 0, 0, 0, 2, 29
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\bin\Debug\net9.0\dnd_game.deps.json", "JSON", 0, 0, 0, 39, 0, 0, 39
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\bin\Debug\net9.0\dnd_game.runtimeconfig.json", "JSON", 0, 0, 0, 12, 0, 0, 12
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\dnd_game.csproj", "XML", 0, 11, 0, 0, 0, 4, 15
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\Debug\net9.0\dnd_game.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\Debug\net9.0\dnd_game.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 15, 0, 0, 1, 16
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\Debug\net9.0\dnd_game.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\dnd_game.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 130, 0, 0, 130
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\dnd_game.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\dnd_game.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\maxve\OneDrive\Undervisning\NBI-Handelsakademin\OOP\dnd_game\obj\project.assets.json", "JSON", 0, 0, 0, 95, 0, 0, 95
"Total", "-", 280, 28, 15, 276, 16, 39, 654